Customer ,Invoice Type,Issue Category,Description,Identified On,Identified By,Revenue Impact,Impact Category,Rooo Cause,"Root Cause Owner,",Customer Received,Impacted Customers,Containment Action,Corrective Action,Rebilled/Credited,Action Owner,Due Date,Status,Approved By,Remakrs
Roku,OEM,,,10-24-2027,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,NaN,,,No,Mangalagowri,#VALUE!,clsoed,Patrick,NaN
Roku,OEM,NA,,10-24-2028,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,NaN,,,No,Mangalagowri,#VALUE!,closed,Patrick,NaN
Breezeline,FullFilment,NA,,14-08-2025,NaN,0,UnCategorized,KPI Issue - Invoice,Not_Assigned,No,Breezeline,,,No,Mangalagowri,21-08-2025,Open,Neha,NaN
Mediacom,FullFilment,NA,,18-08-2025,NaN,2700.2,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,25-08-2025,Open,Patrick,NaN
Mediacom,FullFilment,NA,,18-08-2025,NaN,2990,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Mediacom,,,No,Mangalagowri,25-08-2025,Open,Neha,NaN
Midco,FullFilment,NA,,18-08-2025,NaN,2615.73,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Midco,,,No,Mangalagowri,25-08-2025,clsoed,Patrick,NaN
Mediacom,Clean & Screen,NA,,19-08-2025,NaN,4408,UnCategorized,Not Known,Not_Assigned,No,Mediacom,,,No,Mangalagowri,26-08-2025,closed,Patrick,NaN
Breezeline,FullFilment,NA,,26-08-2025,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,02-09-2025,Open,Patrick,NaN
Midco,FullFilment,NA,,28-08-2025,NaN,0,UnCategorized,Not Known,Not_Assigned,No,Midco,,,No,Mangalagowri,04-09-2025,Open,Neha,NaN
Breezeline,FullFilment,NA,,04-09-2025,NaN,0,UnCategorized,Data Issue - DeepBlu,Ganesh,No,Breezeline,,,No,Mangalagowri,11-09-2025,Open,Patrick,NaN
Tivo,FullFilment,Under Charge,,04-09-2025,NaN,836.33,UnCategorized,Business Rules Issue - Sales,Michael Dudek,No,Tivo,,,No,Mangalagowri,11-09-2025,clsoed,Neha,NaN
Roku,Clean & Screen,Under Charge,,05-09-2025,NaN,350,UnCategorized,Operations,Raul,No,Roku,,,No,Mangalagowri,12-09-2025,closed,Patrick,NaN
Tivo,FullFilment,NA,,03-09-2025,NaN,5436,UnCategorized,Data Issue - DeepBlu,Mohan,No,Tivo,,,No,Mangalagowri,10-09-2025,Open,Patrick,NaN
Breezeline,FullFilment,NA,,29-08-2025,NaN,0,UnCategorized,Data Issue - DeepBlu,Not_Assigned,No,Breezeline,,,No,Mangalagowri,05-09-2025,Open,Patrick,NaN
Frontier,Clean & Screen,Under Charge,,02-09-2025,NaN,23777.45,UnCategorized,Business Rules Issue - Sales,Sridhar,Yes,Frontier,,,No,Mangalagowri,09-09-2025,Open,Neha,NaN
Mediacom,Clean & Screen,NA,,08-09-2025,NaN,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Mediacom,,,No,Mangalagowri,15-09-2025,clsoed,Patrick,NaN
Frontier,FullFilment,NA,,08-09-2025,NaN,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Frontier,,,No,Mangalagowri,15-09-2025,closed,Neha,NaN
Mediacom,FullFilment,NA,,05-09-2025,NaN,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Mediacom,,,No,Mangalagowri,12-09-2025,Open,Patrick,NaN
Breezeline,FullFilment,NA,,02-09-2025,NaN,0,UnCategorized,Business Rules Issue - Sales,Not_Assigned,No,Breezeline,,,No,Mangalagowri,09-09-2025,Open,Patrick,NaN
Frontier,Clean & Screen,Under Charge,,15-09-2025,NaN,0,UnCategorized,Logic Issue - Invoice,Not_Assigned,No,Frontier,,,No,Mangalagowri,22-09-2025,Open,Patrick,NaN
Breezeline,FullFilment,NA,,18-09-2025,NaN,0,UnCategorized,KPI Issue - Invoice,Ganesh,No,Breezeline,,,NA,Mangalagowri,25-09-2025,clsoed,Neha,NaN
Breezeline,FullFilment,NA,,15-09-2025,NaN,0,UnCategorized,Data Issue - DeepBlu,Mohan / Santhosh,No,Breezeline,,,NA,Mangalagowri,22-09-2025,closed,Patrick,NaN
Breezeline,FullFilment,Under Charge,,17-09-2025,NaN,2485.7,UnCategorized,KPI Issue - Invoice,Santhosh,No,Breezeline,,,NA,Mangalagowri,24-09-2025,Open,Neha,NaN
Frontier,Clean & Screen,Under Charge,,19-09-2025,NaN,1713.6,UnCategorized,KPI Issue - Invoice,Ganesh,No,Frontier,,,NA,Mangalagowri,26-09-2025,Open,Patrick,NaN
Breezeline,FullFilment,Over Charge,,19-08-2025,NaN,100,UnCategorized,Data Issue - DeepBlu,Mohan,NA,Breezeline,,,NA,Mangalagowri,26-08-2025,Open,Patrick,NaN
Starry,FullFilment,NA,,23-09-2025,NaN,0,UnCategorized,Code issue - Invoice,Sridhar,No,Starry,,,NA,Mangalagowri,30-09-2025,clsoed,Patrick,NaN
Astound,FullFilment,,,17-09-2025,NaN,9099.21,UnCategorized,,Lakshmanan,Yes,,,,Rebill,Mangalagowri,24-09-2025,closed,Neha,NaN
